text,intent
"i want to make order",create_order
"create order for me",create_order
"can you create a new order",create_order
"new order please",create_order
"start an order now",create_order
"begin order",create_order
"open order",create_order
"i awnt to make order",create_order
"pls create order",create_order
"can u start order",create_order
"let's open a new order",create_order
"order please",create_order
"add 2 monitors",add_item
"add one hdmi cable",add_item
"i want to add items",add_item
"include 5 keyboards",add_item
"put 3 mice into order",add_item
"can you add 10 units of monitor",add_item
"need to add cable",add_item
"pls add 2 hdmi cable 2m",add_item
"add item",add_item
"append this product",add_item
"add another line",add_item
"insert 4 units of 27-inch monitor",add_item
"change monitor qty to 3",update_item
"update quantity to 5",update_item
"edit the cable price",update_item
"modify discount to 10",update_item
"can you update this item",update_item
"set qty 2 for monitor",update_item
"revise unit price to 799",update_item
"adjust discount for line 2",update_item
"update order line",update_item
"please edit item details",update_item
"change hdmi cable qty from 1 to 6",update_item
"update this row",update_item
"remove hdmi cable",remove_item
"delete line 2",remove_item
"cancel this item",remove_item
"clear monitor from order",remove_item
"can you remove the cable",remove_item
"drop item 1",remove_item
"remove item",remove_item
"delete this product",remove_item
"please remove that row",remove_item
"take out 27-inch monitor",remove_item
"erase line 3",remove_item
"i dont want this item",remove_item
"complete order",complete_order
"finish order",complete_order
"submit order",complete_order
"done, place the order",complete_order
"finalize this order",complete_order
"checkout now",complete_order
"confirm my order",complete_order
"that's all, complete it",complete_order
"proceed to complete",complete_order
"ok submit",complete_order
"i am done",complete_order
"close this order",complete_order
"hello",none
"good morning",none
"what is the weather",none
"show me my chat history",none
"who are you",none
"tell me a joke",none
"how to login",none
"what is my account status",none
"thank you",none
"can you help",none
"i need assistance",none
"what can you do",none
"create report",none
"open dashboard",none
"print receipt",none
"how many pending approvals",none
"show approved orders",none
"go back",none
"logout me",none
"help",none
"i awnt to orde",create_order
"pls ad 2 monitor",add_item
"chnge qty to 7",update_item
"rmv line 1",remove_item
"done submit it",complete_order
"i want order now",create_order
"can add this too",add_item
"update this plz",update_item
"delete this one",remove_item
"complete it now",complete_order
"nothing just testing",none
"random text abc",none
"start order and add 2 monitor",create_order
"i need to place new order",create_order
"add 3 cable and 2 monitor",add_item
"edit line with new price",update_item
"remove wrong item",remove_item
"ready to finalize order",complete_order
"what is pending",none
"show me admin menu",none
"awnt create orde pls",create_order
"ad item 5 qty",add_item
"udpate line",update_item
"delet item",remove_item
"complet order",complete_order
"how are you",none
"goodbye",none
"thanks",none
"check draft",none
"new order now please",create_order
"add product xyz",add_item
"update product xyz qty",update_item
"remove product xyz",remove_item
"submit this order now",complete_order
"i need new purchase order",create_order
"include one more item",add_item
"change order item details",update_item
"cancel item from this order",remove_item
"place this order",complete_order
"what is total amount",none
"show order details",none
"can we continue",none
"proceed",none
"open chat",none
"let me start a new order",create_order
"begin new purchase order",create_order
"i wanna make order",create_order
"can u open new order",create_order
"start order pls",create_order
"lets create purchase",create_order
"opn order",create_order
"crete new order",create_order
"i ned to order",create_order
"make new orde",create_order
"put 5 keyboards in order",add_item
"need 10 mouse",add_item
"add 1 desktop computer",add_item
"put in 7 monitors pls",add_item
"can you add 3 laptops",add_item
"i want 2 printers",add_item
"include 15 usb cable",add_item
"add 20 pens",add_item
"adn 3 monitor",add_item
"ad item pls 5 unit",add_item
"can ad 2 laptop",add_item
"put 1 more item",add_item
"add this to order",add_item
"append 4 keyboard",add_item
"include another product",add_item
"change price to 500",update_item
"modify qty for item 2",update_item
"edit discount value",update_item
"update the monitor price pls",update_item
"change quantity from 3 to 8",update_item
"adjust price down",update_item
"revise the total",update_item
"modify unit cost",update_item
"chang qty",update_item
"updat price",update_item
"edit this line plz",update_item
"modify order detail",update_item
"fix quantity",update_item
"adjust discount rate",update_item
"change detail for item",update_item
"remove keyboard",remove_item
"delete monitor line",remove_item
"cancel laptop",remove_item
"take out cable",remove_item
"remove line item 3",remove_item
"delete that product",remove_item
"drop this from order",remove_item
"clear line 1",remove_item
"rmove item",remove_item
"dlete this",remove_item
"cancel that one",remove_item
"remove it",remove_item
"take away monitor",remove_item
"drop product",remove_item
"finalize my order",complete_order
"send order",complete_order
"submit it",complete_order
"done editing complete now",complete_order
"ready to submit",complete_order
"finish up order",complete_order
"confirm order now",complete_order
"im done pls submit",complete_order
"complet this",complete_order
"finish orde",complete_order
"summit order",complete_order
"done order",complete_order
"good afternoon",none
"hi there",none
"whats up",none
"can you check status",none
"pending approvals",none
"admin panel",none
"logout",none
"refresh page",none
"save changes",none
"cancel",none
"back to menu",none
"view history",none
"download report",none
